target_id,task_type,old_10hz_time,slsqp_refined_time,original_margin,slsqp_margin,improvement,constraint_pass,rollback_or_not
P10,拍照,493.85,493.85,0.16,0.15972452004161752,-0.00027547995838247963,True,False
P03,拍照,494.45,494.45,0.217,0.21735249621258848,0.0003524962125884823,True,False
P11,拍照,495.05,495.05,0.226,0.2260846974328885,8.469743288849751e-05,True,False
P04,拍照,495.65,495.65,0.061,0.061426291820892175,0.00042629182089217593,True,False
P02,拍照,509.05,509.05,0.352,0.35207006692851134,7.006692851135865e-05,True,False
P01,拍照,509.65,509.65,0.196,0.19613708950707007,0.0001370895070700595,True,False
S10,射击,511.35,511.35,0.184,0.18422006651759615,0.00022006651759615137,True,False
S11,射击,516.75,516.75,0.278,0.2776258990940545,-0.00037410090594552914,True,False
S12,射击,763.85,763.85,0.136,0.13632875916347187,0.00032875916347185896,True,False
