lag,seconds,acf
0,0.0,1.0
1,0.1,0.928340979759761
2,0.2,0.7744622348135468
3,0.30000000000000004,0.6248799816793212
4,0.4,0.5091600554146398
5,0.5,0.41583413333754177
6,0.6000000000000001,0.3316060806074654
7,0.7000000000000001,0.25556802302624526
8,0.8,0.19104599066397882
9,0.9,0.13810256329857198
10,1.0,0.09220535309057636
11,1.1,0.051137543762943306
12,1.2000000000000002,0.01994353503321805
13,1.3,0.0027489004896449156
14,1.4000000000000001,-0.003602808723354131
15,1.5,-0.007173025874205772
16,1.6,-0.01275237581379262
17,1.7000000000000002,-0.016430194641431726
18,1.8,-0.014618884433748548
19,1.9000000000000001,-0.009180809123397452
20,2.0,-0.003797161788577375
21,2.1,-0.0013385430192239722
22,2.2,-0.0015385820125642237
23,2.3000000000000003,-0.0029432312771621905
24,2.4000000000000004,-0.0033813901106496637
25,2.5,0.0004984117662983143
26,2.6,0.008207264937242473
27,2.7,0.015521829148469597
28,2.8000000000000003,0.02050657112285223
29,2.9000000000000004,0.025312578756807154
30,3.0,0.031585905627757094
31,3.1,0.03657556401757317
32,3.2,0.0382506100622552
33,3.3000000000000003,0.0378766024269019
34,3.4000000000000004,0.03748915173746906
35,3.5,0.0379293046764868
36,3.6,0.03697446726277663
37,3.7,0.030908616427436256
38,3.8000000000000003,0.019458002745206752
39,3.9000000000000004,0.0072581185075988475
40,4.0,-0.0016507503224467018
41,4.1000000000000005,-0.008995626783837288
42,4.2,-0.01787844497800292
43,4.3,-0.02740413582752597
44,4.4,-0.03436643394113857
45,4.5,-0.0365238208852571
46,4.6000000000000005,-0.033324421256236074
47,4.7,-0.02646297219901098
48,4.800000000000001,-0.018801102921919496
49,4.9,-0.012203826755613772
50,5.0,-0.007679493079254645
51,5.1000000000000005,-0.006556263059534813
52,5.2,-0.007152927045942803
53,5.300000000000001,-0.006181509199319761
54,5.4,-0.0028086692875566835
55,5.5,-0.00016401913831107042
56,5.6000000000000005,0.001073856133692698
57,5.7,0.003932318020322331
58,5.800000000000001,0.007134366713658747
59,5.9,0.007327360235184698
60,6.0,0.006319367789793678
61,6.1000000000000005,0.008905230542651972
62,6.2,0.015595096525810667
63,6.300000000000001,0.02122115332153621
64,6.4,0.022901701504534362
65,6.5,0.022643386879929166
66,6.6000000000000005,0.02560243932863679
67,6.7,0.0352998839884021
68,6.800000000000001,0.04898504448608638
69,6.9,0.062364052204422364
70,7.0,0.07272910988117784
71,7.1000000000000005,0.07856501313996496
72,7.2,0.08071944146006248
73,7.300000000000001,0.08199360541387998
74,7.4,0.08473593209601653
75,7.5,0.08713326261728173
76,7.6000000000000005,0.08564347423619037
77,7.7,0.07916298323299344
78,7.800000000000001,0.07062482983806177
79,7.9,0.0650149881960091
80,8.0,0.06620261564662666
81,8.1,0.07449157707873502
82,8.200000000000001,0.08716801078924209
83,8.3,0.09759022842382714
84,8.4,0.10040671605416265
85,8.5,0.09520531386835467
86,8.6,0.08491100399794416
87,8.700000000000001,0.07321423866988604
88,8.8,0.06176318357056695
89,8.9,0.04710049448855745
90,9.0,0.024362574628579353
91,9.1,-0.0053009401002301155
92,9.200000000000001,-0.032293986185721275
93,9.3,-0.04818413510150557
94,9.4,-0.05385633725256155
95,9.5,-0.05483230071362493
96,9.600000000000001,-0.056344345327691
97,9.700000000000001,-0.057933260262344646
98,9.8,-0.05348698149255436
99,9.9,-0.04127630567221832
100,10.0,-0.02786044520164746
101,10.100000000000001,-0.018393424662746214
102,10.200000000000001,-0.009837269130775135
103,10.3,0.0020777771190020338
104,10.4,0.01864291158030857
105,10.5,0.03714131698743685
106,10.600000000000001,0.05377503190044444
107,10.700000000000001,0.06819141746090696
108,10.8,0.07965227577265177
109,10.9,0.08405885785211475
110,11.0,0.07864451625768983
111,11.100000000000001,0.06687981108668985
112,11.200000000000001,0.055546108105696594
113,11.3,0.04807459993391372
114,11.4,0.044656317242641165
115,11.5,0.04301710108876934
116,11.600000000000001,0.04075728017721758
117,11.700000000000001,0.03818644005628812
118,11.8,0.03700471894862763
119,11.9,0.037267226271609305
120,12.0,0.036088090774512624
121,12.100000000000001,0.03181240162907127
122,12.200000000000001,0.026325652102686642
123,12.3,0.02084011480745195
124,12.4,0.014549044067135237
125,12.5,0.004888157978479019
126,12.600000000000001,-0.010060827942865771
127,12.700000000000001,-0.02966538811507195
128,12.8,-0.05045602290855278
129,12.9,-0.06623317087540778
130,13.0,-0.07363109884927281
131,13.100000000000001,-0.07406428910117824
132,13.200000000000001,-0.06971718327530664
133,13.3,-0.06120586877769477
134,13.4,-0.04853343796055142
135,13.5,-0.03432124468652366
136,13.600000000000001,-0.02377872477953107
137,13.700000000000001,-0.01938894000411269
138,13.8,-0.017794030888774036
139,13.9,-0.014295961099989976
140,14.0,-0.010166765011558642
141,14.100000000000001,-0.01084946031411711
142,14.200000000000001,-0.015642557692752548
143,14.3,-0.01935124374267553
144,14.4,-0.018637725098913035
145,14.5,-0.014296129303161584
146,14.600000000000001,-0.011486103800092335
147,14.700000000000001,-0.013579620618930074
148,14.8,-0.017978321319341024
149,14.9,-0.020186996422809324
150,15.0,-0.017045255031789636
151,15.100000000000001,-0.009826943107595666
152,15.200000000000001,-0.003312078337450981
153,15.3,-0.0008311678691427879
154,15.4,0.00024330986481708346
155,15.5,0.004559339204026779
156,15.600000000000001,0.011253439406409053
157,15.700000000000001,0.015089972347045408
158,15.8,0.012118840851499054
159,15.9,0.001982372192261179
160,16.0,-0.010707613113206902
161,16.1,-0.021562518675861356
162,16.2,-0.028740153450874547
163,16.3,-0.032523801748227665
164,16.400000000000002,-0.03215252066814771
165,16.5,-0.02670941018573309
166,16.6,-0.019643519620338324
167,16.7,-0.015701897833433846
168,16.8,-0.016135257421603315
169,16.900000000000002,-0.018432749012118214
170,17.0,-0.02044582393713184
171,17.1,-0.022971650602116193
172,17.2,-0.028376271545429387
173,17.3,-0.037792590341863955
174,17.400000000000002,-0.04870317265380329
175,17.5,-0.055708697051321414
176,17.6,-0.055599548905081536
177,17.7,-0.05181566266503049
178,17.8,-0.05003795556264107
179,17.900000000000002,-0.05188959659616804
180,18.0,-0.05487316284234938
181,18.1,-0.05440465352588676
182,18.2,-0.0480638458637066
183,18.3,-0.03871967405745061
184,18.400000000000002,-0.03198279359567491
185,18.5,-0.029987752255424088
186,18.6,-0.030727078838989032
187,18.7,-0.031656248221874767
188,18.8,-0.030870150237529058
189,18.900000000000002,-0.02799926055687049
190,19.0,-0.02440237249256233
191,19.1,-0.021169953594719473
192,19.200000000000003,-0.017412103689010406
193,19.3,-0.012426733899246244
194,19.400000000000002,-0.007395316954356055
195,19.5,-0.003621812488900123
196,19.6,-0.00013217880081334898
197,19.700000000000003,0.005111380937992637
198,19.8,0.01133610533815994
199,19.900000000000002,0.015477855081626487
200,20.0,0.015661908338532957
