replace_target,old_task_key,candidate_task_key,candidate_target,candidate_task_type,old_worst_margin,candidate_worst_margin,candidate_feasible_rate,coverage_delta,better_worst_margin
P10,拍照|P10|494.9,拍照|P01|509.4,P01,拍照,0.0,0.21000771278489908,1.0,-1,True
P10,拍照|P10|494.9,拍照|P01|509.6,P01,拍照,0.0,0.2038997776192043,1.0,-1,True
P10,拍照|P10|494.9,拍照|P01|509.8,P01,拍照,0.0,0.19845871947590535,1.0,-1,True
P10,拍照|P10|494.9,射击|S01|494.8,S01,射击,0.0,0.1919825900131211,1.0,0,True
P10,拍照|P10|494.9,拍照|P01|510.0,P01,拍照,0.0,0.19162959797438575,1.0,-1,True
P10,拍照|P10|494.9,射击|S01|495.0,S01,射击,0.0,0.1888188596331082,1.0,0,True
P10,拍照|P10|494.9,射击|S01|495.2,S01,射击,0.0,0.1837610524342756,1.0,0,True
P10,拍照|P10|494.9,拍照|P01|510.2,P01,拍照,0.0,0.18369390462389296,1.0,-1,True
P10,拍照|P10|494.9,拍照|P01|509.0,P01,拍照,0.0,0.18259087982896652,1.0,-1,True
P10,拍照|P10|494.9,射击|S02|495.0,S02,射击,0.0,0.18255758478458334,1.0,0,True
P10,拍照|P10|494.9,射击|S02|494.8,S02,射击,0.0,0.18247546586556382,1.0,0,True
P10,拍照|P10|494.9,射击|S02|495.2,S02,射击,0.0,0.1821419402174618,1.0,0,True
P10,拍照|P10|494.9,拍照|P01|510.4,P01,拍照,0.0,0.1753449395682947,1.0,-1,True
P10,拍照|P10|494.9,拍照|P01|510.6,P01,拍照,0.0,0.16800372976858804,1.0,-1,True
P10,拍照|P10|494.9,拍照|P01|510.8,P01,拍照,0.0,0.16111270400764208,1.0,-1,True
P10,拍照|P10|494.9,射击|S02|495.4,S02,射击,0.0,0.1598944935252562,1.0,0,True
P10,拍照|P10|494.9,射击|S01|494.6,S01,射击,0.0,0.1573249562328017,1.0,0,True
P10,拍照|P10|494.9,射击|S02|494.6,S02,射击,0.0,0.1573249562328017,1.0,0,True
P10,拍照|P10|494.9,拍照|P01|511.0,P01,拍照,0.0,0.15423816380524186,1.0,-1,True
P10,拍照|P10|494.9,拍照|P01|508.8,P01,拍照,0.0,0.13988734557026383,1.0,-1,True
P10,拍照|P10|494.9,射击|S01|495.4,S01,射击,0.0,0.12942790147033745,1.0,0,True
P10,拍照|P10|494.9,拍照|P04|494.4,P04,拍照,0.0,0.12394126339150062,1.0,0,True
P10,拍照|P10|494.9,拍照|P10|494.4,P10,拍照,0.0,0.12394126339150062,1.0,0,True
P10,拍照|P10|494.9,拍照|P11|494.4,P11,拍照,0.0,0.12394126339150062,1.0,-1,True
P10,拍照|P10|494.9,拍照|P03|494.6,P03,拍照,0.0,0.11773519787631044,1.0,-1,True
P10,拍照|P10|494.9,拍照|P04|494.6,P04,拍照,0.0,0.11773519787631044,1.0,0,True
P10,拍照|P10|494.9,拍照|P10|494.6,P10,拍照,0.0,0.11773519787631044,1.0,0,True
P10,拍照|P10|494.9,拍照|P11|494.6,P11,拍照,0.0,0.11773519787631044,1.0,-1,True
P10,拍照|P10|494.9,拍照|P03|494.2,P03,拍照,0.0,0.11451158215939057,1.0,-1,True
P10,拍照|P10|494.9,拍照|P04|494.2,P04,拍照,0.0,0.11451158215939057,1.0,0,True
P10,拍照|P10|494.9,拍照|P10|494.2,P10,拍照,0.0,0.11451158215939057,1.0,0,True
P10,拍照|P10|494.9,拍照|P11|494.2,P11,拍照,0.0,0.11451158215939057,1.0,-1,True
P10,拍照|P10|494.9,射击|S02|495.6,S02,射击,0.0,0.0987215572048763,1.0,0,True
P10,拍照|P10|494.9,拍照|P01|508.6,P01,拍照,0.0,0.09617517946866494,1.0,-1,True
P10,拍照|P10|494.9,拍照|P03|494.8,P03,拍照,0.0,0.09556703470939887,1.0,-1,True
P10,拍照|P10|494.9,拍照|P04|494.8,P04,拍照,0.0,0.09556703470939887,1.0,0,True
P10,拍照|P10|494.9,拍照|P10|494.8,P10,拍照,0.0,0.09556703470939887,1.0,0,True
P10,拍照|P10|494.9,拍照|P11|494.8,P11,拍照,0.0,0.09556703470939887,1.0,-1,True
P10,拍照|P10|494.9,拍照|P01|511.2,P01,拍照,0.0,0.09396283543338606,1.0,-1,True
P10,拍照|P10|494.9,拍照|P03|494.0,P03,拍照,0.0,0.08935026159304,1.0,-1,True
P10,拍照|P10|494.9,拍照|P04|494.0,P04,拍照,0.0,0.08935026159304,1.0,0,True
P10,拍照|P10|494.9,拍照|P10|494.0,P10,拍照,0.0,0.08935026159304,1.0,0,True
P10,拍照|P10|494.9,拍照|P11|494.0,P11,拍照,0.0,0.08935026159304,1.0,-1,True
P10,拍照|P10|494.9,射击|S01|494.4,S01,射击,0.0,0.08227533480476534,1.0,0,True
P10,拍照|P10|494.9,射击|S02|494.4,S02,射击,0.0,0.08227533480476534,1.0,0,True
P10,拍照|P10|494.9,射击|S01|495.6,S01,射击,0.0,0.06895042295435116,1.0,0,True
P10,拍照|P10|494.9,射击|S14|751.8,S14,射击,0.0,0.06851579693348364,1.0,0,True
P10,拍照|P10|494.9,射击|S14|752.0,S14,射击,0.0,0.06851579693348364,1.0,0,True
P10,拍照|P10|494.9,射击|S14|752.2,S14,射击,0.0,0.06851579693348364,1.0,0,True
P10,拍照|P10|494.9,射击|S14|752.4,S14,射击,0.0,0.06851579693348364,1.0,0,True
P10,拍照|P10|494.9,射击|S15|751.8,S15,射击,0.0,0.06851579693348364,1.0,-1,True
P10,拍照|P10|494.9,射击|S15|752.0,S15,射击,0.0,0.06851579693348364,1.0,-1,True
P10,拍照|P10|494.9,射击|S15|752.2,S15,射击,0.0,0.06851579693348364,1.0,-1,True
P10,拍照|P10|494.9,射击|S15|752.4,S15,射击,0.0,0.06851579693348364,1.0,-1,True
P10,拍照|P10|494.9,射击|S16|751.8,S16,射击,0.0,0.06851579693348364,1.0,-1,True
P10,拍照|P10|494.9,射击|S16|752.0,S16,射击,0.0,0.06851579693348364,1.0,-1,True
P10,拍照|P10|494.9,射击|S16|752.2,S16,射击,0.0,0.06851579693348364,1.0,-1,True
P10,拍照|P10|494.9,射击|S16|752.4,S16,射击,0.0,0.06851579693348364,1.0,-1,True
P10,拍照|P10|494.9,射击|S14|751.6,S14,射击,0.0,0.06324480666668053,1.0,0,True
P10,拍照|P10|494.9,射击|S15|751.6,S15,射击,0.0,0.06324480666668053,1.0,-1,True
P10,拍照|P10|494.9,射击|S16|751.6,S16,射击,0.0,0.06324480666668053,1.0,-1,True
P10,拍照|P10|494.9,拍照|P03|493.8,P03,拍照,0.0,0.05561158486846285,1.0,-1,True
P10,拍照|P10|494.9,拍照|P04|493.8,P04,拍照,0.0,0.05561158486846285,1.0,0,True
P10,拍照|P10|494.9,拍照|P10|493.8,P10,拍照,0.0,0.05561158486846285,1.0,0,True
P10,拍照|P10|494.9,拍照|P03|495.0,P03,拍照,0.0,0.05344933356507786,1.0,-1,True
P10,拍照|P10|494.9,拍照|P04|495.0,P04,拍照,0.0,0.05344933356507786,1.0,0,True
P10,拍照|P10|494.9,拍照|P11|495.0,P11,拍照,0.0,0.05344933356507786,1.0,-1,True
P10,拍照|P10|494.9,拍照|P01|508.4,P01,拍照,0.0,0.05322588626124455,1.0,-1,True
P10,拍照|P10|494.9,射击|S14|752.6,S14,射击,0.0,0.0491286815819284,1.0,0,True
P10,拍照|P10|494.9,射击|S16|752.6,S16,射击,0.0,0.0491286815819284,1.0,-1,True
P10,拍照|P10|494.9,射击|S14|751.4,S14,射击,0.0,0.048111435734672914,1.0,0,True
P10,拍照|P10|494.9,射击|S15|751.4,S15,射击,0.0,0.048111435734672914,1.0,-1,True
P10,拍照|P10|494.9,射击|S16|751.4,S16,射击,0.0,0.048111435734672914,1.0,-1,True
P10,拍照|P10|494.9,射击|S02|495.8,S02,射击,0.0,0.04060462911122875,1.0,0,True
P10,拍照|P10|494.9,射击|S01|494.2,S01,射击,0.0,0.03528112944585363,1.0,0,True
P10,拍照|P10|494.9,射击|S02|494.2,S02,射击,0.0,0.03528112944585363,1.0,0,True
P10,拍照|P10|494.9,拍照|P01|511.4,P01,拍照,0.0,0.032282996260601195,1.0,-1,True
P10,拍照|P10|494.9,射击|S03|482.4,S03,射击,0.0,0.027669406214460346,1.0,-1,True
P10,拍照|P10|494.9,射击|S04|482.4,S04,射击,0.0,0.027669406214460346,1.0,0,True
P10,拍照|P10|494.9,射击|S14|751.2,S14,射击,0.0,0.02231597682492159,1.0,0,True
P10,拍照|P10|494.9,射击|S15|751.2,S15,射击,0.0,0.02231597682492159,1.0,-1,True
P10,拍照|P10|494.9,射击|S16|751.2,S16,射击,0.0,0.02231597682492159,1.0,-1,True
P10,拍照|P10|494.9,射击|S14|752.8,S14,射击,0.0,0.0154191770587212,1.0,0,True
P10,拍照|P10|494.9,射击|S15|752.8,S15,射击,0.0,0.0154191770587212,1.0,-1,True
P10,拍照|P10|494.9,射击|S16|752.8,S16,射击,0.0,0.0154191770587212,1.0,-1,True
P10,拍照|P10|494.9,拍照|P03|493.6,P03,拍照,0.0,0.013105830726253043,1.0,-1,True
P10,拍照|P10|494.9,拍照|P04|493.6,P04,拍照,0.0,0.013105830726253043,1.0,0,True
P10,拍照|P10|494.9,拍照|P10|493.6,P10,拍照,0.0,0.013105830726253043,1.0,0,True
P10,拍照|P10|494.9,拍照|P11|493.6,P11,拍照,0.0,0.013105830726253043,1.0,-1,True
P10,拍照|P10|494.9,射击|S01|495.8,S01,射击,0.0,0.012664058011358614,1.0,0,True
P10,拍照|P10|494.9,射击|S01|482.4,S01,射击,0.0,0.012618942827411384,1.0,0,True
P10,拍照|P10|494.9,拍照|P01|508.2,P01,拍照,0.0,0.009406551201128396,1.0,-1,True
P10,拍照|P10|494.9,射击|S01|478.6,S01,射击,0.0,0.0,0.9333333333333333,0,False
P10,拍照|P10|494.9,射击|S01|482.6,S01,射击,0.0,0.0,0.9333333333333333,0,False
P10,拍照|P10|494.9,射击|S01|493.8,S01,射击,0.0,0.0,0.9333333333333333,0,False
P10,拍照|P10|494.9,射击|S01|494.0,S01,射击,0.0,0.0,0.9333333333333333,0,False
P10,拍照|P10|494.9,射击|S02|478.6,S02,射击,0.0,0.0,0.9333333333333333,0,False
P10,拍照|P10|494.9,射击|S02|493.8,S02,射击,0.0,0.0,0.9333333333333333,0,False
P10,拍照|P10|494.9,射击|S02|494.0,S02,射击,0.0,0.0,0.9333333333333333,0,False
P10,拍照|P10|494.9,射击|S03|482.6,S03,射击,0.0,0.0,0.9333333333333333,-1,False
P10,拍照|P10|494.9,射击|S04|478.6,S04,射击,0.0,0.0,0.9333333333333333,0,False
P10,拍照|P10|494.9,射击|S04|482.6,S04,射击,0.0,0.0,0.9333333333333333,0,False
P10,拍照|P10|494.9,射击|S05|478.6,S05,射击,0.0,0.0,0.9333333333333333,-1,False
P10,拍照|P10|494.9,射击|S05|482.6,S05,射击,0.0,0.0,0.9333333333333333,-1,False
P10,拍照|P10|494.9,射击|S06|478.6,S06,射击,0.0,0.0,0.9333333333333333,0,False
P10,拍照|P10|494.9,射击|S14|751.0,S14,射击,0.0,0.0,0.9333333333333333,0,False
P10,拍照|P10|494.9,射击|S15|751.0,S15,射击,0.0,0.0,0.9333333333333333,-1,False
P10,拍照|P10|494.9,拍照|P01|511.6,P01,拍照,0.0,0.0,0.9333333333333333,-1,False
P10,拍照|P10|494.9,拍照|P03|495.2,P03,拍照,0.0,0.0,0.9333333333333333,-1,False
P10,拍照|P10|494.9,拍照|P04|495.2,P04,拍照,0.0,0.0,0.9333333333333333,0,False
P10,拍照|P10|494.9,拍照|P10|495.2,P10,拍照,0.0,0.0,0.9333333333333333,0,False
P10,拍照|P10|494.9,拍照|P11|495.2,P11,拍照,0.0,0.0,0.9333333333333333,-1,False
P10,拍照|P10|494.9,射击|S01|478.8,S01,射击,0.0,0.0,0.8666666666666667,0,False
P10,拍照|P10|494.9,射击|S01|479.0,S01,射击,0.0,0.0,0.8666666666666667,0,False
P10,拍照|P10|494.9,射击|S01|482.2,S01,射击,0.0,0.0,0.8666666666666667,0,False
P10,拍照|P10|494.9,射击|S01|496.0,S01,射击,0.0,0.0,0.8666666666666667,0,False
P10,拍照|P10|494.9,射击|S02|478.8,S02,射击,0.0,0.0,0.8666666666666667,0,False
P10,拍照|P10|494.9,射击|S02|479.0,S02,射击,0.0,0.0,0.8666666666666667,0,False
P10,拍照|P10|494.9,射击|S02|496.0,S02,射击,0.0,0.0,0.8666666666666667,0,False
P10,拍照|P10|494.9,射击|S03|478.8,S03,射击,0.0,0.0,0.8666666666666667,-1,False
P10,拍照|P10|494.9,射击|S03|479.0,S03,射击,0.0,0.0,0.8666666666666667,-1,False
P10,拍照|P10|494.9,射击|S03|482.2,S03,射击,0.0,0.0,0.8666666666666667,-1,False
P10,拍照|P10|494.9,射击|S04|478.8,S04,射击,0.0,0.0,0.8666666666666667,0,False
P10,拍照|P10|494.9,射击|S04|479.0,S04,射击,0.0,0.0,0.8666666666666667,0,False
P10,拍照|P10|494.9,射击|S04|482.2,S04,射击,0.0,0.0,0.8666666666666667,0,False
P10,拍照|P10|494.9,射击|S05|478.8,S05,射击,0.0,0.0,0.8666666666666667,-1,False
P10,拍照|P10|494.9,射击|S05|479.0,S05,射击,0.0,0.0,0.8666666666666667,-1,False
P10,拍照|P10|494.9,射击|S05|482.2,S05,射击,0.0,0.0,0.8666666666666667,-1,False
P10,拍照|P10|494.9,射击|S06|478.8,S06,射击,0.0,0.0,0.8666666666666667,0,False
P10,拍照|P10|494.9,射击|S06|479.0,S06,射击,0.0,0.0,0.8666666666666667,0,False
P10,拍照|P10|494.9,射击|S14|753.0,S14,射击,0.0,0.0,0.8666666666666667,0,False
P10,拍照|P10|494.9,射击|S15|753.0,S15,射击,0.0,0.0,0.8666666666666667,-1,False
P10,拍照|P10|494.9,射击|S16|753.0,S16,射击,0.0,0.0,0.8666666666666667,-1,False
P10,拍照|P10|494.9,射击|S01|481.6,S01,射击,0.0,0.0,0.8,0,False
P10,拍照|P10|494.9,射击|S01|481.8,S01,射击,0.0,0.0,0.8,0,False
P10,拍照|P10|494.9,射击|S01|482.0,S01,射击,0.0,0.0,0.8,0,False
P10,拍照|P10|494.9,射击|S03|481.6,S03,射击,0.0,0.0,0.8,-1,False
P10,拍照|P10|494.9,射击|S03|481.8,S03,射击,0.0,0.0,0.8,-1,False
P10,拍照|P10|494.9,射击|S03|482.0,S03,射击,0.0,0.0,0.8,-1,False
P10,拍照|P10|494.9,射击|S03|482.8,S03,射击,0.0,0.0,0.8,-1,False
P10,拍照|P10|494.9,射击|S04|481.6,S04,射击,0.0,0.0,0.8,0,False
P10,拍照|P10|494.9,射击|S04|481.8,S04,射击,0.0,0.0,0.8,0,False
P10,拍照|P10|494.9,射击|S04|482.0,S04,射击,0.0,0.0,0.8,0,False
P10,拍照|P10|494.9,射击|S04|482.8,S04,射击,0.0,0.0,0.8,0,False
P10,拍照|P10|494.9,射击|S05|481.6,S05,射击,0.0,0.0,0.8,-1,False
P10,拍照|P10|494.9,射击|S05|481.8,S05,射击,0.0,0.0,0.8,-1,False
P10,拍照|P10|494.9,射击|S05|482.0,S05,射击,0.0,0.0,0.8,-1,False
P10,拍照|P10|494.9,射击|S05|482.8,S05,射击,0.0,0.0,0.8,-1,False
P10,拍照|P10|494.9,射击|S06|481.6,S06,射击,0.0,0.0,0.8,0,False
P10,拍照|P10|494.9,射击|S06|481.8,S06,射击,0.0,0.0,0.8,0,False
P10,拍照|P10|494.9,射击|S14|750.8,S14,射击,0.0,0.0,0.8,0,False
P10,拍照|P10|494.9,射击|S14|753.2,S14,射击,0.0,0.0,0.8,0,False
P10,拍照|P10|494.9,射击|S14|753.4,S14,射击,0.0,0.0,0.8,0,False
P10,拍照|P10|494.9,射击|S15|750.8,S15,射击,0.0,0.0,0.8,-1,False
P10,拍照|P10|494.9,射击|S15|753.2,S15,射击,0.0,0.0,0.8,-1,False
P10,拍照|P10|494.9,射击|S15|753.4,S15,射击,0.0,0.0,0.8,-1,False
P10,拍照|P10|494.9,射击|S16|750.8,S16,射击,0.0,0.0,0.8,-1,False
P10,拍照|P10|494.9,射击|S16|753.2,S16,射击,0.0,0.0,0.8,-1,False
P10,拍照|P10|494.9,射击|S16|753.4,S16,射击,0.0,0.0,0.8,-1,False
P10,拍照|P10|494.9,拍照|P02|494.0,P02,拍照,0.0,0.0,0.8,-1,False
P10,拍照|P10|494.9,拍照|P02|518.0,P02,拍照,0.0,0.0,0.8,-1,False
P10,拍照|P10|494.9,射击|S01|478.4,S01,射击,0.0,0.0,0.7333333333333333,0,False
P10,拍照|P10|494.9,射击|S01|479.2,S01,射击,0.0,0.0,0.7333333333333333,0,False
P10,拍照|P10|494.9,射击|S01|479.4,S01,射击,0.0,0.0,0.7333333333333333,0,False
P10,拍照|P10|494.9,射击|S01|479.6,S01,射击,0.0,0.0,0.7333333333333333,0,False
P10,拍照|P10|494.9,射击|S01|479.8,S01,射击,0.0,0.0,0.7333333333333333,0,False
P10,拍照|P10|494.9,射击|S01|480.0,S01,射击,0.0,0.0,0.7333333333333333,0,False
P10,拍照|P10|494.9,射击|S01|480.2,S01,射击,0.0,0.0,0.7333333333333333,0,False
P10,拍照|P10|494.9,射击|S01|480.4,S01,射击,0.0,0.0,0.7333333333333333,0,False
P10,拍照|P10|494.9,射击|S01|480.6,S01,射击,0.0,0.0,0.7333333333333333,0,False
P10,拍照|P10|494.9,射击|S01|480.8,S01,射击,0.0,0.0,0.7333333333333333,0,False
P10,拍照|P10|494.9,射击|S01|481.0,S01,射击,0.0,0.0,0.7333333333333333,0,False
P10,拍照|P10|494.9,射击|S01|481.2,S01,射击,0.0,0.0,0.7333333333333333,0,False
P10,拍照|P10|494.9,射击|S01|481.4,S01,射击,0.0,0.0,0.7333333333333333,0,False
P10,拍照|P10|494.9,射击|S01|482.8,S01,射击,0.0,0.0,0.7333333333333333,0,False
P10,拍照|P10|494.9,射击|S02|478.4,S02,射击,0.0,0.0,0.7333333333333333,0,False
P10,拍照|P10|494.9,射击|S02|479.2,S02,射击,0.0,0.0,0.7333333333333333,0,False
P10,拍照|P10|494.9,射击|S02|479.4,S02,射击,0.0,0.0,0.7333333333333333,0,False
P10,拍照|P10|494.9,射击|S02|479.6,S02,射击,0.0,0.0,0.7333333333333333,0,False
P10,拍照|P10|494.9,射击|S02|479.8,S02,射击,0.0,0.0,0.7333333333333333,0,False
P10,拍照|P10|494.9,射击|S02|480.0,S02,射击,0.0,0.0,0.7333333333333333,0,False
P10,拍照|P10|494.9,射击|S02|480.2,S02,射击,0.0,0.0,0.7333333333333333,0,False
P10,拍照|P10|494.9,射击|S03|478.4,S03,射击,0.0,0.0,0.7333333333333333,-1,False
P10,拍照|P10|494.9,射击|S03|479.2,S03,射击,0.0,0.0,0.7333333333333333,-1,False
P10,拍照|P10|494.9,射击|S03|479.4,S03,射击,0.0,0.0,0.7333333333333333,-1,False
P10,拍照|P10|494.9,射击|S03|479.6,S03,射击,0.0,0.0,0.7333333333333333,-1,False
P10,拍照|P10|494.9,射击|S03|479.8,S03,射击,0.0,0.0,0.7333333333333333,-1,False
P10,拍照|P10|494.9,射击|S03|480.0,S03,射击,0.0,0.0,0.7333333333333333,-1,False
P10,拍照|P10|494.9,射击|S03|480.2,S03,射击,0.0,0.0,0.7333333333333333,-1,False
P10,拍照|P10|494.9,射击|S03|480.4,S03,射击,0.0,0.0,0.7333333333333333,-1,False
P10,拍照|P10|494.9,射击|S03|480.6,S03,射击,0.0,0.0,0.7333333333333333,-1,False
